store_id,average_daily_sales
store54,2613.7431578947367
store63,2558.891714285714
store35,2652.7799999999997
store77,2513.826320754717
store73,2519.8125490196076
store75,2303.128863636364
store37,2487.4292592592587
store6,2498.2013157894735
store95,2775.0098230088506
store13,2764.757777777778
store96,2496.6124468085104
store8,2501.815871559633
store56,2585.5028
store2,2612.8831182795707
store16,2656.2134444444446
store82,2795.715375
store14,2875.141348314607
store86,2477.6338834951457
store72,2459.189019607844
store99,2386.3545054945066
store31,2693.349519230769
store26,2618.4322727272734
store12,2660.9152577319587
store10,2489.2942201834862
store94,2443.1922580645164
store81,2379.7706666666672
store22,2554.4772815533975
store17,2628.4594791666673
store21,2490.1398000000004
store79,2426.9475789473677
store64,2401.671495327103
store4,2552.355
store39,2561.8078703703704
store61,2613.549032258065
store78,2544.474869565218
store18,2478.235148514851
store42,2573.4530337078645
store88,2427.3453465346533
store62,2439.029019607843
store9,2414.5259821428563
store93,2451.595142857143
store71,2388.088539325842
store19,2410.7613924050634
store70,2589.819754098361
store57,2513.0309803921564
store83,2719.885462962963
store45,2662.5383516483507
store47,2681.512244897959
store100,2314.8561111111107
store68,2637.6961682242977
store59,2486.9218750000005
store49,2455.4591588785042
store30,2495.496262626264
store53,2536.892736842104
store46,2510.2938983050853
store87,2507.061711711712
store28,2490.7308421052635
store15,2735.4181132075482
store38,2657.6213253012033
store48,2549.0212612612627
store76,2512.2530973451326
store58,2331.48568627451
store11,2627.7564705882355
store51,2458.7563114754103
store25,2805.5946086956533
store44,2743.4235106382985
store85,2603.2215789473685
store89,2707.1732291666676
store67,2570.2172815533977
store97,2399.156981132076
store98,2619.189433962263
store5,2715.8677173913047
store91,2608.0019230769226
store55,2229.762297297297
store1,2314.2792452830176
store43,2579.225188679245
store52,2447.955263157894
store20,2769.008461538462
store66,2546.5407894736845
store32,2494.9400000000005
store65,2410.4057425742576
store36,2519.1464646464638
store90,2577.878245614036
store84,2642.674711538461
store29,2484.76585858586
store80,2679.5768181818175
store60,2648.043370786517
store40,2653.422100840336
store33,2497.079797979797
store41,2430.4414814814813
store23,2523.4692727272736
store92,2540.0011009174314
store74,2232.5543749999993
store7,2699.182376237623
store3,2616.093298969073
store24,2536.382446808511
store50,2591.0946511627913
store34,2758.085894736843
store69,2471.271009174311
store27,2508.243448275862
